File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF527RBD	bed narrowPeak	peaks	ENCSR799GOY	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				YBX1-human	DNA					False	2016-09-01	ENCODE				1							ENCFF449NNE, ENCFF449XWV	6353137	ENCODE Processing Pipeline	f1e171f6771702c5c096fcc70a65600a		https://www.encodeproject.org/files/ENCFF527RBD/@@download/ENCFF527RBD.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF674AYU	bed narrowPeak	peaks	ENCSR799GOY	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				YBX1-human	DNA					False	2016-09-01	ENCODE				2							ENCFF822QTV, ENCFF999EQI	6306629	ENCODE Processing Pipeline	9a7d70950ca0f45844d3e13316b55692		https://www.encodeproject.org/files/ENCFF674AYU/@@download/ENCFF674AYU.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF716TQR	bed narrowPeak	peaks	ENCSR799GOY	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				YBX1-human	DNA					False	2016-09-01	ENCODE				1, 2							ENCFF449NNE, ENCFF449XWV, ENCFF822QTV, ENCFF999EQI	7210716	ENCODE Processing Pipeline	8dbc620b4a59bed3377993647e1aed9c		https://www.encodeproject.org/files/ENCFF716TQR/@@download/ENCFF716TQR.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF566DXN	bed narrowPeak	conservative idr thresholded peaks	ENCSR799GOY	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				YBX1-human	DNA					False	2016-09-01	ENCODE				1, 2							ENCFF001TDO, ENCFF527RBD, ENCFF674AYU, ENCFF716TQR	53251	ENCODE Processing Pipeline	76776cbcc272aff1bda84cabbe990918		https://www.encodeproject.org/files/ENCFF566DXN/@@download/ENCFF566DXN.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF920LEU	bed narrowPeak	optimal idr thresholded peaks	ENCSR799GOY	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				YBX1-human	DNA					False	2016-09-01	ENCODE				1, 2							ENCFF001TDO, ENCFF527RBD, ENCFF674AYU, ENCFF716TQR	88695	ENCODE Processing Pipeline	3294d59a75115ea2e7bba0de196a9231		https://www.encodeproject.org/files/ENCFF920LEU/@@download/ENCFF920LEU.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF717KIQ	bed narrowPeak	peaks	ENCSR799GOY	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				YBX1-human	DNA					False	2016-09-01	ENCODE				1							ENCFF190EPQ, ENCFF973ZYR	6201899	ENCODE Processing Pipeline	282b3633841b09b2cbe9082a3224bb80		https://www.encodeproject.org/files/ENCFF717KIQ/@@download/ENCFF717KIQ.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF351DID	bed narrowPeak	peaks	ENCSR799GOY	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				YBX1-human	DNA					False	2016-09-01	ENCODE				2							ENCFF687IOA, ENCFF950AXC	6154340	ENCODE Processing Pipeline	f9bd0f60c8e0af17cca4163c2fc45425		https://www.encodeproject.org/files/ENCFF351DID/@@download/ENCFF351DID.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF042FXY	bed narrowPeak	peaks	ENCSR799GOY	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				YBX1-human	DNA					False	2016-09-01	ENCODE				1, 2							ENCFF190EPQ, ENCFF687IOA, ENCFF950AXC, ENCFF973ZYR	7133511	ENCODE Processing Pipeline	54fcff6a0b2b939a406f9095f6a04841		https://www.encodeproject.org/files/ENCFF042FXY/@@download/ENCFF042FXY.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF106YYN	bed narrowPeak	conservative idr thresholded peaks	ENCSR799GOY	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				YBX1-human	DNA					False	2016-09-01	ENCODE				1, 2							ENCFF042FXY, ENCFF351DID, ENCFF419RSJ, ENCFF717KIQ	60210	ENCODE Processing Pipeline	c67c95c308ec04089f67400b647f5b75		https://www.encodeproject.org/files/ENCFF106YYN/@@download/ENCFF106YYN.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF332FUE	bed narrowPeak	optimal idr thresholded peaks	ENCSR799GOY	ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				YBX1-human	DNA					False	2016-09-01	ENCODE				1, 2							ENCFF042FXY, ENCFF351DID, ENCFF419RSJ, ENCFF717KIQ	92457	ENCODE Processing Pipeline	33bf0efe3d0d2d15b20ba97f4ea896e1		https://www.encodeproject.org/files/ENCFF332FUE/@@download/ENCFF332FUE.bed.gz	GRCh38			released	antibody characterized with exemption			
