File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001VOC	bed narrowPeak	peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE												1381827	Michael Snyder, Stanford	68ae1503a36a8e4e49d5435a7ef819da		https://www.encodeproject.org/files/ENCFF001VOC/@@download/ENCFF001VOC.bed.gz	hg19			archived	inconsistent target of control experiment, low read length	missing derived_from, biological replicates with identical biosample		
ENCFF002CXL	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE												560754	ENCODE Consortium Analysis Working Group	ec1717748eb321c02c89b809da728501		https://www.encodeproject.org/files/ENCFF002CXL/@@download/ENCFF002CXL.bed.gz	hg19			archived	inconsistent target of control experiment, low read length	missing derived_from, biological replicates with identical biosample		
ENCFF514SHW	bed narrowPeak	peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE				1							ENCFF023NGN, ENCFF982AFE	5253849	ENCODE Processing Pipeline	fc4af747c1250ed6b3804674de683ec0		https://www.encodeproject.org/files/ENCFF514SHW/@@download/ENCFF514SHW.bed.gz	GRCh38			released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF765ZUN	bed narrowPeak	peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE				2							ENCFF023NGN, ENCFF200PYZ	5325781	ENCODE Processing Pipeline	341de4fe2c24b5814c5309b5e306bd39		https://www.encodeproject.org/files/ENCFF765ZUN/@@download/ENCFF765ZUN.bed.gz	GRCh38			released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF020TYZ	bed narrowPeak	peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF023NGN, ENCFF200PYZ, ENCFF982AFE	4291534	ENCODE Processing Pipeline	70b534cb6cc0392779a70100627fa218		https://www.encodeproject.org/files/ENCFF020TYZ/@@download/ENCFF020TYZ.bed.gz	GRCh38			released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF433PKW	bed narrowPeak	conservative idr thresholded peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF020TYZ, ENCFF419RSJ, ENCFF514SHW, ENCFF765ZUN	422586	ENCODE Processing Pipeline	1008d69a69a54bb582da6aab516adb4a		https://www.encodeproject.org/files/ENCFF433PKW/@@download/ENCFF433PKW.bed.gz	GRCh38			released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF755HCK	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF020TYZ, ENCFF419RSJ, ENCFF514SHW, ENCFF765ZUN	507309	ENCODE Processing Pipeline	0f3d11026ed80414d813c56b0c574482		https://www.encodeproject.org/files/ENCFF755HCK/@@download/ENCFF755HCK.bed.gz	GRCh38			released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF140XPK	bed narrowPeak	peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE				1							ENCFF703ULA, ENCFF710NTS	5254759	ENCODE Processing Pipeline	5da407a55ac8e67282768fa2dafa3448		https://www.encodeproject.org/files/ENCFF140XPK/@@download/ENCFF140XPK.bed.gz	hg19			released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF821GNB	bed narrowPeak	conservative idr thresholded peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF140XPK, ENCFF379CMJ, ENCFF721DKV	421633	ENCODE Processing Pipeline	9addd43753ce0e434be8ead7742e5ba9		https://www.encodeproject.org/files/ENCFF821GNB/@@download/ENCFF821GNB.bed.gz	hg19			released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF379CMJ	bed narrowPeak	peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF366ROL, ENCFF703ULA, ENCFF710NTS	4292138	ENCODE Processing Pipeline	79c4e391ee34962115e8162c8b45c989		https://www.encodeproject.org/files/ENCFF379CMJ/@@download/ENCFF379CMJ.bed.gz	hg19			released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF721DKV	bed narrowPeak	peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE				2							ENCFF366ROL, ENCFF710NTS	5331822	ENCODE Processing Pipeline	54d16af622c98713d139299498e6adb2		https://www.encodeproject.org/files/ENCFF721DKV/@@download/ENCFF721DKV.bed.gz	hg19			released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF549TYR	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EGE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				EP300-human	ENCAB000AJM	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF140XPK, ENCFF379CMJ, ENCFF721DKV	499007	ENCODE Processing Pipeline	5c12903e8565056220d8fa3f42c54529		https://www.encodeproject.org/files/ENCFF549TYR/@@download/ENCFF549TYR.bed.gz	hg19			released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF387MDX	bed narrowPeak	peaks	ENCSR000FCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	ENCAB000AAG	DNA		see document	see document		False	2014-07-07	ENCODE				1, 2							ENCFF033UID, ENCFF332SVJ, ENCFF412DRO, ENCFF505ZUJ	7184179	ENCODE Processing Pipeline	3fd2a3ed842a80455970f014fbf56c10		https://www.encodeproject.org/files/ENCFF387MDX/@@download/ENCFF387MDX.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF610YNO	bed narrowPeak	peaks	ENCSR000FCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	ENCAB000AAG	DNA		see document	see document		False	2014-07-07	ENCODE				1							ENCFF033UID, ENCFF505ZUJ	6394031	ENCODE Processing Pipeline	bcf49f2753707148c025f7cd24f8f2a2		https://www.encodeproject.org/files/ENCFF610YNO/@@download/ENCFF610YNO.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF904ELN	bed narrowPeak	peaks	ENCSR000FCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	ENCAB000AAG	DNA		see document	see document		False	2014-07-07	ENCODE				2							ENCFF332SVJ, ENCFF412DRO	6800130	ENCODE Processing Pipeline	390ee1ca8c1ea1096b445e6e99f9980b		https://www.encodeproject.org/files/ENCFF904ELN/@@download/ENCFF904ELN.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF548ITQ	bed narrowPeak	conservative idr thresholded peaks	ENCSR000FCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	ENCAB000AAG	DNA		see document	see document		False	2014-07-07	ENCODE				1, 2							ENCFF387MDX, ENCFF419RSJ, ENCFF610YNO, ENCFF904ELN	300978	ENCODE Processing Pipeline	b9119c3ba9d91361e3b906e073ad32e3		https://www.encodeproject.org/files/ENCFF548ITQ/@@download/ENCFF548ITQ.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF069AAY	bed narrowPeak	optimal idr thresholded peaks	ENCSR000FCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	ENCAB000AAG	DNA		see document	see document		False	2014-07-07	ENCODE				1, 2							ENCFF387MDX, ENCFF419RSJ, ENCFF610YNO, ENCFF904ELN	400019	ENCODE Processing Pipeline	4fae0f8dac0d78ddbd10368544c7f6a5		https://www.encodeproject.org/files/ENCFF069AAY/@@download/ENCFF069AAY.bed.gz	GRCh38			released	antibody characterized with exemption			
ENCFF410JJC	bed narrowPeak	conservative idr thresholded peaks	ENCSR000FCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	ENCAB000AAG	DNA		see document	see document		False	2014-07-07	ENCODE				1, 2							ENCFF001TDO, ENCFF131YKB, ENCFF235FTG, ENCFF875TQG	299981	ENCODE Processing Pipeline	994f8104a748fbc318af07ff06bd751c		https://www.encodeproject.org/files/ENCFF410JJC/@@download/ENCFF410JJC.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF131YKB	bed narrowPeak	peaks	ENCSR000FCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	ENCAB000AAG	DNA		see document	see document		False	2014-07-07	ENCODE				1							ENCFF310TZE, ENCFF747SPK	6404445	ENCODE Processing Pipeline	ce527a6d51afbb56bee2e1ff7aa357bf		https://www.encodeproject.org/files/ENCFF131YKB/@@download/ENCFF131YKB.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF875TQG	bed narrowPeak	peaks	ENCSR000FCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	ENCAB000AAG	DNA		see document	see document		False	2014-07-07	ENCODE				2							ENCFF061QOJ, ENCFF701AOA	6802573	ENCODE Processing Pipeline	51bb4cfa7573995a9a30f2d4d51524c1		https://www.encodeproject.org/files/ENCFF875TQG/@@download/ENCFF875TQG.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF235FTG	bed narrowPeak	peaks	ENCSR000FCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	ENCAB000AAG	DNA		see document	see document		False	2014-07-07	ENCODE				1, 2							ENCFF061QOJ, ENCFF310TZE, ENCFF701AOA, ENCFF747SPK	7184972	ENCODE Processing Pipeline	ebea0ab3ee602810ee67f0f4c8e5709b		https://www.encodeproject.org/files/ENCFF235FTG/@@download/ENCFF235FTG.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF178MOP	bed narrowPeak	optimal idr thresholded peaks	ENCSR000FCD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMAD5-human	ENCAB000AAG	DNA		see document	see document		False	2014-07-07	ENCODE				1, 2							ENCFF001TDO, ENCFF131YKB, ENCFF235FTG, ENCFF875TQG	398842	ENCODE Processing Pipeline	8793c337b4cbb250f1ea3226f4282427		https://www.encodeproject.org/files/ENCFF178MOP/@@download/ENCFF178MOP.bed.gz	hg19			released	antibody characterized with exemption			
ENCFF903CMR	bed narrowPeak	peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				3							ENCFF852RLW, ENCFF879OQC	5463308	ENCODE Processing Pipeline	62a7c136c7f270aafa1a4fac94b275f7		https://www.encodeproject.org/files/ENCFF903CMR/@@download/ENCFF903CMR.bed.gz	hg19			released	low read length			
ENCFF324USK	bed narrowPeak	conservative idr thresholded peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF001TDO, ENCFF084ZRH, ENCFF663ORW, ENCFF903CMR	111947	ENCODE Processing Pipeline	df5de3d7fdaa782bc803d8636a810752		https://www.encodeproject.org/files/ENCFF324USK/@@download/ENCFF324USK.bed.gz	hg19			released	low read length			
ENCFF663ORW	bed narrowPeak	peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1							ENCFF147VCN, ENCFF335IPE	5124788	ENCODE Processing Pipeline	8684d01437d6b6e47679a749aacccb94		https://www.encodeproject.org/files/ENCFF663ORW/@@download/ENCFF663ORW.bed.gz	hg19			released	low read length			
ENCFF084ZRH	bed narrowPeak	peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF147VCN, ENCFF335IPE, ENCFF852RLW, ENCFF879OQC	6582440	ENCODE Processing Pipeline	4bc00609b7376f5ca21105ebd930e822		https://www.encodeproject.org/files/ENCFF084ZRH/@@download/ENCFF084ZRH.bed.gz	hg19			released	low read length			
ENCFF384YDT	bed narrowPeak	optimal idr thresholded peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF001TDO, ENCFF084ZRH, ENCFF663ORW, ENCFF903CMR	152742	ENCODE Processing Pipeline	c35e488a7197f89d865f37f8aa5f4343		https://www.encodeproject.org/files/ENCFF384YDT/@@download/ENCFF384YDT.bed.gz	hg19			released	low read length			
ENCFF063GMG	bed narrowPeak	peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF147VCN, ENCFF335IPE, ENCFF852RLW, ENCFF879OQC	6729858	ENCODE Processing Pipeline	a9f8443f4492d3091639f0cd7a56157d		https://www.encodeproject.org/files/ENCFF063GMG/@@download/ENCFF063GMG.bed.gz	hg19			archived	low read length			
ENCFF135VWG	bed narrowPeak	peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				3							ENCFF852RLW, ENCFF879OQC	5660342	ENCODE Processing Pipeline	b7a0aac41ac7f624fc8866dbfd8e2129		https://www.encodeproject.org/files/ENCFF135VWG/@@download/ENCFF135VWG.bed.gz	hg19			archived	low read length			
ENCFF770GWM	bed narrowPeak	peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1							ENCFF147VCN, ENCFF335IPE	5247189	ENCODE Processing Pipeline	ae86b2319905c3bbce4a66fa7affa0a3		https://www.encodeproject.org/files/ENCFF770GWM/@@download/ENCFF770GWM.bed.gz	hg19			archived	low read length			
ENCFF344HRG	bed narrowPeak	peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1							ENCFF156FED, ENCFF178EJY	5121643	ENCODE Processing Pipeline	208f76b1214d2c8bc120a6addc214a9b		https://www.encodeproject.org/files/ENCFF344HRG/@@download/ENCFF344HRG.bed.gz	GRCh38			released	low read length			
ENCFF886EVL	bed narrowPeak	optimal idr thresholded peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF344HRG, ENCFF419RSJ, ENCFF785QCU, ENCFF934EYD	162552	ENCODE Processing Pipeline	d9a2d56a4d106637d515cedb4176fae9		https://www.encodeproject.org/files/ENCFF886EVL/@@download/ENCFF886EVL.bed.gz	GRCh38			released	low read length			
ENCFF785QCU	bed narrowPeak	peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				3							ENCFF057KBN, ENCFF577FNG	5470469	ENCODE Processing Pipeline	f56050b119170957b4278817f4a37ea9		https://www.encodeproject.org/files/ENCFF785QCU/@@download/ENCFF785QCU.bed.gz	GRCh38			released	low read length			
ENCFF934EYD	bed narrowPeak	peaks	ENCSR376WCJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				IRF2-human	ENCAB001RIV	DNA					False	2014-07-07	ENCODE				1, 3							ENCFF057KBN, ENCFF156FED, ENCFF178EJY, ENCFF577FNG	6596165	ENCODE Processing Pipeline	4426ab492f93716962efe1b69d6e2707		https://www.encodeproject.org/files/ENCFF934EYD/@@download/ENCFF934EYD.bed.gz	GRCh38			released	low read length			
