File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF815YGA	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR973HOJ	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FXR2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF032TZM/, /files/ENCFF936GTY/	1070176	Gene Yeo, UCSD	86ec1653c843abdb1d955523392dfb54		https://www.encodeproject.org/files/ENCFF815YGA/@@download/ENCFF815YGA.bed.gz				released	s3://encode-public/2018/04/29/7d949712-2468-4e42-a2dc-740208d78bd1/ENCFF815YGA.bed.gz	antibody characterized with exemption		
ENCFF246SBA	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR973HOJ	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FXR2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF385GCC/, /files/ENCFF936GTY/	884507	Gene Yeo, UCSD	cc3a3a14b340238bd188f51e46a7f79a		https://www.encodeproject.org/files/ENCFF246SBA/@@download/ENCFF246SBA.bed.gz				released	s3://encode-public/2018/04/29/ff1c04a3-0d2d-463a-a3ca-9e593c6bd0f4/ENCFF246SBA.bed.gz	antibody characterized with exemption		
ENCFF702QGF	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR973HOJ	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FXR2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF157JBC/, /files/ENCFF985TJF/	1047213	Gene Yeo, UCSD	057763e7ed1f81b6db708e7d1a2cc1cb		https://www.encodeproject.org/files/ENCFF702QGF/@@download/ENCFF702QGF.bed.gz				released	s3://encode-public/2018/04/29/7a1d8de0-e26f-452b-8406-0866dfea8b75/ENCFF702QGF.bed.gz	antibody characterized with exemption		
ENCFF638WRZ	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR973HOJ	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FXR2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF500VOG/, /files/ENCFF985TJF/	869447	Gene Yeo, UCSD	20dedbeef4219fdb98ae2012af4ecbbc		https://www.encodeproject.org/files/ENCFF638WRZ/@@download/ENCFF638WRZ.bed.gz				released	s3://encode-public/2018/04/29/31bde287-a6cf-446a-aeac-f97f3764d12a/ENCFF638WRZ.bed.gz	antibody characterized with exemption		
ENCFF149CJJ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR973HOJ	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FXR2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF936GTY/, /files/ENCFF385GCC/, /files/ENCFF815YGA/, /files/ENCFF032TZM/, /files/ENCFF039QTN/, /files/ENCFF246SBA/	87546	Gene Yeo, UCSD	7f0e97b368d606384d8b33f7151a571a		https://www.encodeproject.org/files/ENCFF149CJJ/@@download/ENCFF149CJJ.bed.gz				released	s3://encode-public/2018/06/08/ee444c7e-144e-4d64-a99b-f9eb52599be7/ENCFF149CJJ.bed.gz	antibody characterized with exemption		
ENCFF112MVG	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR973HOJ	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FXR2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF638WRZ/, /files/ENCFF500VOG/, /files/ENCFF269URO/, /files/ENCFF985TJF/, /files/ENCFF157JBC/, /files/ENCFF702QGF/	86089	Gene Yeo, UCSD	6d026845542dd30b5366fc5f454a99ab		https://www.encodeproject.org/files/ENCFF112MVG/@@download/ENCFF112MVG.bed.gz				released	s3://encode-public/2018/12/03/88081bb6-0830-4e99-b711-98004df04845/ENCFF112MVG.bed.gz	antibody characterized with exemption		
ENCFF106CGP	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR464OSH	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FUS-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF311LXM/, /files/ENCFF654ULI/	2357056	Gene Yeo, UCSD	7ad2af4ba04e57e0d509d9b474bd974c		https://www.encodeproject.org/files/ENCFF106CGP/@@download/ENCFF106CGP.bed.gz				released	s3://encode-public/2018/04/29/3c7112d5-9cd0-432d-ab06-cb14832fb9c5/ENCFF106CGP.bed.gz			
ENCFF163PLH	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR464OSH	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FUS-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF014VCG/, /files/ENCFF654ULI/	2651159	Gene Yeo, UCSD	54fb155c8de3c744c0eeb71a8868ae2b		https://www.encodeproject.org/files/ENCFF163PLH/@@download/ENCFF163PLH.bed.gz				released	s3://encode-public/2018/04/29/5cafa82c-e5e8-4972-b0f3-4fdaf35835a8/ENCFF163PLH.bed.gz			
ENCFF685MZA	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR464OSH	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FUS-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF181DXK/, /files/ENCFF117HXE/	2311202	Gene Yeo, UCSD	5608c7e40a9feb49073e8337ac5d7b0e		https://www.encodeproject.org/files/ENCFF685MZA/@@download/ENCFF685MZA.bed.gz				released	s3://encode-public/2018/04/29/991ca763-5bd6-4fe3-9b30-4d4a21cdff6e/ENCFF685MZA.bed.gz			
ENCFF951IBI	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR464OSH	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FUS-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF177YJA/, /files/ENCFF117HXE/	2617778	Gene Yeo, UCSD	76ac49bb8624922d89aa096a6195391b		https://www.encodeproject.org/files/ENCFF951IBI/@@download/ENCFF951IBI.bed.gz				released	s3://encode-public/2018/04/29/d2221a4a-9ee2-4258-8088-69e4f6b740e5/ENCFF951IBI.bed.gz			
ENCFF336WDV	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR464OSH	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FUS-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF106CGP/, /files/ENCFF014VCG/, /files/ENCFF311LXM/, /files/ENCFF163PLH/, /files/ENCFF039QTN/, /files/ENCFF654ULI/	17093	Gene Yeo, UCSD	9c25f7912bfa7cb89e6a897bf3187616		https://www.encodeproject.org/files/ENCFF336WDV/@@download/ENCFF336WDV.bed.gz				released	s3://encode-public/2018/06/08/fc5c6472-8418-4a69-b464-302d7199fa14/ENCFF336WDV.bed.gz			
ENCFF972DFZ	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR464OSH	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FUS-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF269URO/, /files/ENCFF177YJA/, /files/ENCFF117HXE/, /files/ENCFF685MZA/, /files/ENCFF181DXK/, /files/ENCFF951IBI/	18840	Gene Yeo, UCSD	b7d32d6428ae1d9496a31b34825f677b		https://www.encodeproject.org/files/ENCFF972DFZ/@@download/ENCFF972DFZ.bed.gz				released	s3://encode-public/2018/12/03/1d5aca82-f557-4e1e-a46b-741d1cf143b7/ENCFF972DFZ.bed.gz			
ENCFF828WCR	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR352STY	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SSB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF856EEK/, /files/ENCFF820ONK/	890262	Gene Yeo, UCSD	eee076a67598c5b61833795a5b0e0a3a		https://www.encodeproject.org/files/ENCFF828WCR/@@download/ENCFF828WCR.bed.gz				released	s3://encode-public/2018/04/29/035410e6-86b9-4e84-a362-b12f30a1023b/ENCFF828WCR.bed.gz			
ENCFF746RLH	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR352STY	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SSB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF746AWW/, /files/ENCFF820ONK/	1106770	Gene Yeo, UCSD	7efd80788b834e9db6a69d7083a1d5ca		https://www.encodeproject.org/files/ENCFF746RLH/@@download/ENCFF746RLH.bed.gz				released	s3://encode-public/2018/04/29/cb9e96ad-6c99-4fdf-acf7-86fd6c136961/ENCFF746RLH.bed.gz			
ENCFF097KHT	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR352STY	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SSB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF264DBW/, /files/ENCFF417RUN/	1089321	Gene Yeo, UCSD	30721842f7129e66cedfed588f6a749e		https://www.encodeproject.org/files/ENCFF097KHT/@@download/ENCFF097KHT.bed.gz				released	s3://encode-public/2018/04/29/0a99806c-3c54-42ca-a951-4aa2c3a336bd/ENCFF097KHT.bed.gz			
ENCFF697NZQ	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR352STY	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SSB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF343FAD/, /files/ENCFF417RUN/	872350	Gene Yeo, UCSD	69439c12474d1c7e9c1c11ce828847ba		https://www.encodeproject.org/files/ENCFF697NZQ/@@download/ENCFF697NZQ.bed.gz				released	s3://encode-public/2018/04/29/3653816d-1782-4c97-a553-1dd17d096426/ENCFF697NZQ.bed.gz			
ENCFF565RQI	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR352STY	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SSB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF828WCR/, /files/ENCFF746RLH/, /files/ENCFF856EEK/, /files/ENCFF746AWW/, /files/ENCFF820ONK/, /files/ENCFF039QTN/	2394	Gene Yeo, UCSD	ec970c0b42a87e1ce2ee97fb4d36a6df		https://www.encodeproject.org/files/ENCFF565RQI/@@download/ENCFF565RQI.bed.gz				released	s3://encode-public/2018/06/08/735c27fe-c800-4615-9c4c-1b3d258dfecc/ENCFF565RQI.bed.gz			
ENCFF848JWA	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR352STY	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SSB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF264DBW/, /files/ENCFF097KHT/, /files/ENCFF697NZQ/, /files/ENCFF417RUN/, /files/ENCFF269URO/, /files/ENCFF343FAD/	2402	Gene Yeo, UCSD	8d7b78ab980f1e1b9c32f248bfd9100f		https://www.encodeproject.org/files/ENCFF848JWA/@@download/ENCFF848JWA.bed.gz				released	s3://encode-public/2018/12/03/6351d640-9a64-4210-bd60-df9c88384e0e/ENCFF848JWA.bed.gz			
ENCFF190DLZ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR820UYE	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										PABPN1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF441BOM/, /files/ENCFF224LLH/	1298964	Gene Yeo, UCSD	cac6be667b78ae5fd5c0316891d4a44e		https://www.encodeproject.org/files/ENCFF190DLZ/@@download/ENCFF190DLZ.bed.gz				released	s3://encode-public/2018/04/29/3258568b-2ed1-499a-b45b-03d3baf93e3d/ENCFF190DLZ.bed.gz			
ENCFF927DMJ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR820UYE	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										PABPN1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF922VHA/, /files/ENCFF224LLH/	1269542	Gene Yeo, UCSD	2256060b7b3159a5a1f313a317412ea2		https://www.encodeproject.org/files/ENCFF927DMJ/@@download/ENCFF927DMJ.bed.gz				released	s3://encode-public/2018/04/29/3305893e-d5b9-4c06-b36a-000d540f7f81/ENCFF927DMJ.bed.gz			
ENCFF890DJI	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR820UYE	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										PABPN1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF145LAD/, /files/ENCFF554TBF/	1251159	Gene Yeo, UCSD	77add97f5fb1ecc02d600c72612516db		https://www.encodeproject.org/files/ENCFF890DJI/@@download/ENCFF890DJI.bed.gz				released	s3://encode-public/2018/04/29/b217e442-31c4-4722-a997-de8288b61f35/ENCFF890DJI.bed.gz			
