File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF967JAT	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR001KKZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										PHF6-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF153JFX/, /files/ENCFF427GOR/	431063	Gene Yeo, UCSD	1588d074c25c7433724bfa6c3542af9a		https://www.encodeproject.org/files/ENCFF967JAT/@@download/ENCFF967JAT.bed.gz				released	s3://encode-public/2018/04/29/bf02c97a-05a5-4da4-8840-f63b0f3a0e92/ENCFF967JAT.bed.gz			
ENCFF016IHL	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR001KKZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										PHF6-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF213NMK/, /files/ENCFF427GOR/	500836	Gene Yeo, UCSD	d0bfaf4980dc22090958ec6fb725cce0		https://www.encodeproject.org/files/ENCFF016IHL/@@download/ENCFF016IHL.bed.gz				released	s3://encode-public/2018/04/29/2272f8ae-992a-4761-b402-79758c911d59/ENCFF016IHL.bed.gz			
ENCFF957JDY	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR001KKZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										PHF6-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF282OCB/, /files/ENCFF278RGL/	492704	Gene Yeo, UCSD	d456d8efd464bc2fb1d3075f31e8fe84		https://www.encodeproject.org/files/ENCFF957JDY/@@download/ENCFF957JDY.bed.gz				released	s3://encode-public/2018/04/29/22e6f269-0e92-4534-a4c9-5142f5bc57b9/ENCFF957JDY.bed.gz			
ENCFF075JQB	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR001KKZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										PHF6-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF885ZMH/, /files/ENCFF278RGL/	404622	Gene Yeo, UCSD	0950cc30f8373683ac9a9629691555ce		https://www.encodeproject.org/files/ENCFF075JQB/@@download/ENCFF075JQB.bed.gz				released	s3://encode-public/2018/04/29/cdfd62ca-d4e1-4a3a-80f2-c2c40ea70d2c/ENCFF075JQB.bed.gz			
ENCFF958EFT	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR001KKZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										PHF6-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF967JAT/, /files/ENCFF153JFX/, /files/ENCFF213NMK/, /files/ENCFF427GOR/, /files/ENCFF039QTN/, /files/ENCFF016IHL/	15901	Gene Yeo, UCSD	7b95b3bf29ea2eb9e9e7668c04d899c2		https://www.encodeproject.org/files/ENCFF958EFT/@@download/ENCFF958EFT.bed.gz				released	s3://encode-public/2018/06/08/943313f1-838b-43b3-b899-aadf9ea15243/ENCFF958EFT.bed.gz			
ENCFF588ITW	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR001KKZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										PHF6-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF282OCB/, /files/ENCFF075JQB/, /files/ENCFF278RGL/, /files/ENCFF957JDY/, /files/ENCFF269URO/, /files/ENCFF885ZMH/	16122	Gene Yeo, UCSD	45f4b259866776ad573b15740314a410		https://www.encodeproject.org/files/ENCFF588ITW/@@download/ENCFF588ITW.bed.gz				released	s3://encode-public/2018/12/03/db15e056-c0d7-440a-9732-885039806491/ENCFF588ITW.bed.gz			
ENCFF942LSK	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR580OFI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SUPV3L1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF852ZSI/, /files/ENCFF445GIJ/	172194	Gene Yeo, UCSD	368186325dc1412d98d948c1376d65d9		https://www.encodeproject.org/files/ENCFF942LSK/@@download/ENCFF942LSK.bed.gz				released	s3://encode-public/2018/04/29/571da1fb-a3cd-4a32-bb5e-6f7959f0cd7d/ENCFF942LSK.bed.gz			
ENCFF207VRH	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR580OFI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SUPV3L1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF620GJH/, /files/ENCFF445GIJ/	109730	Gene Yeo, UCSD	d6a17d2015af7b86341d2c544032e0c0		https://www.encodeproject.org/files/ENCFF207VRH/@@download/ENCFF207VRH.bed.gz				released	s3://encode-public/2018/04/29/fceb7727-e136-4b15-9990-43b6bf2cfeb4/ENCFF207VRH.bed.gz			
ENCFF712HCB	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR580OFI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SUPV3L1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF829FDR/, /files/ENCFF781OKE/	164034	Gene Yeo, UCSD	1a0b9a765b1ae577da41a9cf76799416		https://www.encodeproject.org/files/ENCFF712HCB/@@download/ENCFF712HCB.bed.gz				released	s3://encode-public/2018/04/29/b1b04dd6-b40e-47c8-a3c2-27a12a2a99e0/ENCFF712HCB.bed.gz			
ENCFF826MPO	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR580OFI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SUPV3L1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF496FIX/, /files/ENCFF781OKE/	102004	Gene Yeo, UCSD	d43622294f5939763c53743473e0214a		https://www.encodeproject.org/files/ENCFF826MPO/@@download/ENCFF826MPO.bed.gz				released	s3://encode-public/2018/04/29/53f3bc7c-8a8f-4131-b25c-4ea797402266/ENCFF826MPO.bed.gz			
ENCFF901ABJ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR580OFI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SUPV3L1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF620GJH/, /files/ENCFF445GIJ/, /files/ENCFF942LSK/, /files/ENCFF207VRH/, /files/ENCFF852ZSI/, /files/ENCFF039QTN/	1729	Gene Yeo, UCSD	ceaa1ba1b436e76c73e24172fb334d50		https://www.encodeproject.org/files/ENCFF901ABJ/@@download/ENCFF901ABJ.bed.gz				released	s3://encode-public/2018/06/08/92f2b1bb-8028-44e4-92ba-ddb3731e2c6a/ENCFF901ABJ.bed.gz			
ENCFF239GPP	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR580OFI	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SUPV3L1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF781OKE/, /files/ENCFF496FIX/, /files/ENCFF712HCB/, /files/ENCFF269URO/, /files/ENCFF829FDR/, /files/ENCFF826MPO/	1683	Gene Yeo, UCSD	adcb7549802f86579edb0a3621f1a7a1		https://www.encodeproject.org/files/ENCFF239GPP/@@download/ENCFF239GPP.bed.gz				released	s3://encode-public/2018/12/03/59d65239-5209-43a1-a6c2-e1945a388159/ENCFF239GPP.bed.gz			
ENCFF484RAM	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR891RIC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										NIPBL-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF472YSO/, /files/ENCFF411ZIS/	1277181	Gene Yeo, UCSD	12d67b7a5f0d1928489cf6cae04f6be0		https://www.encodeproject.org/files/ENCFF484RAM/@@download/ENCFF484RAM.bed.gz				released	s3://encode-public/2018/04/29/105a137b-fe14-42c8-be03-04e3be7e3fa7/ENCFF484RAM.bed.gz			
